age,workclass,education,education_num,marital_status,occupation,relationship,race,sex,hours_per_week,native_country,high_income
age5,Private,somecollege,average-education,Married-civ-spouse,Exec-managerial,Husband,White,Male,full-time,United-States,>50K
age1,Private,somecollege,average-education,Never-married,Adm-clerical,Own-child,White,Male,full-time,United-States,<=50K
age2,Private,somecollege,average-education,Married-civ-spouse,Craft-repair,Husband,Black,Male,full-time,United-States,<=50K
age1,Private,somecollege,average-education,Separated,Other-service,Unmarried,Black,Female,part-time,United-States,<=50K
age6,Private,somecollege,average-education,Never-married,Exec-managerial,Unmarried,White,Female,full-time,United-States,<=50K
age2,Private,pre-college,some-education,Never-married,Sales,Own-child,White,Male,part-time,United-States,<=50K
age8,Self-emp-not-inc,somecollege,average-education,Married-civ-spouse,Sales,Husband,White,Male,full-time,United-States,>50K
age4,Private,pre-college,some-education,Divorced,Other-service,Unmarried,Black,Female,full-time,United-States,<=50K
age3,Private,somecollege,average-education,Never-married,Adm-clerical,Not-in-family,White,Female,full-time,United-States,<=50K
age3,Self-emp-inc,somecollege,average-education,Divorced,Exec-managerial,Not-in-family,White,Male,extra-time,United-States,<=50K
age4,Private,somecollege,average-education,Divorced,Craft-repair,Not-in-family,White,Male,full-time,United-States,<=50K
age4,Self-emp-not-inc,somecollege,average-education,Never-married,Farming-fishing,Own-child,White,Male,excessive-time,United-States,<=50K
age5,State-gov,college,high-education,Divorced,Prof-specialty,Unmarried,White,Female,full-time,United-States,<=50K
age3,Private,somecollege,average-education,Divorced,Exec-managerial,Other-relative,White,Female,full-time,United-States,<=50K
age4,Private,somecollege,average-education,Separated,Exec-managerial,Not-in-family,White,Male,full-time,England,<=50K
age5,Private,pre-college,low-education,Married-civ-spouse,Farming-fishing,Husband,White,Male,extra-time,Mexico,>50K
age1,Private,college,high-education,Never-married,Prof-specialty,Not-in-family,White,Male,full-time,United-States,<=50K
age5,Self-emp-inc,pre-college,some-education,Married-civ-spouse,Transport-moving,Husband,White,Male,excessive-time,United-States,<=50K
age2,Private,somecollege,average-education,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,extra-time,United-States,>50K
age4,Self-emp-inc,college,high-education,Married-civ-spouse,Exec-managerial,Husband,White,Male,full-time,United-States,>50K
age3,Self-emp-not-inc,prof_doctorate,high-education,Married-civ-spouse,Prof-specialty,Husband,Amer-Indian-Eskimo,Male,extra-time,United-States,>50K
age3,Private,somecollege,average-education,Never-married,Prof-specialty,Not-in-family,White,Male,full-time,United-States,<=50K
age2,Private,somecollege,average-education,Divorced,Sales,Not-in-family,White,Female,full-time,United-States,<=50K
age5,Private,somecollege,average-education,Divorced,Adm-clerical,Unmarried,White,Female,full-time,United-States,<=50K
age1,Private,somecollege,average-education,Divorced,Sales,Own-child,White,Male,full-time,United-States,<=50K
age3,Private,somecollege,average-education,Married-civ-spouse,Craft-repair,Husband,White,Male,full-time,Italy,<=50K
age2,Private,somecollege,average-education,Divorced,Adm-clerical,Unmarried,White,Female,part-time,United-States,<=50K
age5,Private,college,high-education,Married-civ-spouse,Other-service,Other-relative,Asian-Pac-Islander,Male,part-time,Philippines,<=50K
age1,Private,somecollege,average-education,Never-married,Adm-clerical,Own-child,White,Male,full-time,United-States,<=50K
age2,Private,college,high-education,Married-civ-spouse,Prof-specialty,Other-relative,White,Male,full-time,United-States,<=50K
age2,Private,somecollege,average-education,Separated,Other-service,Not-in-family,White,Female,extra-time,United-States,<=50K
age2,Self-emp-inc,somecollege,average-education,Married-civ-spouse,Exec-managerial,Husband,White,Male,extra-time,United-States,<=50K
age1,Private,somecollege,average-education,Never-married,Farming-fishing,Own-child,Black,Male,full-time,United-States,<=50K
age2,Private,somecollege,average-education,Married-civ-spouse,Transport-moving,Husband,White,Male,full-time,United-States,<=50K
age5,Private,somecollege,average-education,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,part-time,United-States,<=50K
age6,Federal-gov,somecollege,average-education,Married-civ-spouse,Tech-support,Husband,White,Male,part-time,United-States,>50K
age3,Private,somecollege,average-education,Married-civ-spouse,Other-service,Wife,White,Female,full-time,United-States,<=50K
age5,Federal-gov,prof_doctorate,high-education,Married-civ-spouse,Prof-specialty,Husband,White,Male,extra-time,United-States,>50K
age7,Self-emp-not-inc,pre-college,low-education,Married-civ-spouse,Craft-repair,Husband,White,Male,full-time,United-States,<=50K
age2,Private,somecollege,average-education,Widowed,Craft-repair,Unmarried,White,Female,part-time,United-States,<=50K
age5,Private,college,high-education,Married-civ-spouse,Exec-managerial,Husband,White,Male,full-time,United-States,>50K
age6,Private,pre-college,some-education,Married-civ-spouse,Transport-moving,Husband,Black,Male,full-time,United-States,>50K
age1,Private,somecollege,average-education,Never-married,Adm-clerical,Not-in-family,White,Female,part-time,United-States,<=50K
age1,Private,somecollege,average-education,Never-married,Craft-repair,Own-child,White,Male,part-time,United-States,<=50K
age2,Private,somecollege,average-education,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,extra-time,United-States,<=50K
age1,Private,pre-college,some-education,Never-married,Other-service,Own-child,White,Female,part-time,United-States,<=50K
age4,Private,somecollege,average-education,Married-civ-spouse,Tech-support,Husband,Asian-Pac-Islander,Male,full-time,United-States,>50K
age3,Private,somecollege,average-education,Married-spouse-absent,Prof-specialty,Not-in-family,White,Female,part-time,United-States,<=50K
age5,Local-gov,somecollege,average-education,Married-civ-spouse,Craft-repair,Husband,White,Male,full-time,United-States,<=50K
age4,Private,somecollege,average-education,Never-married,Adm-clerical,Not-in-family,White,Female,full-time,United-States,<=50K
age1,Private,somecollege,average-education,Never-married,Transport-moving,Own-child,White,Male,full-time,United-States,<=50K
age2,Private,somecollege,average-education,Married-civ-spouse,Sales,Husband,White,Male,full-time,United-States,<=50K
age1,Private,somecollege,average-education,Never-married,Handlers-cleaners,Own-child,White,Male,full-time,United-States,<=50K
age7,Private,somecollege,average-education,Divorced,Adm-clerical,Not-in-family,White,Female,part-time,Germany,<=50K
age2,Private,college,high-education,Never-married,Exec-managerial,Not-in-family,White,Male,full-time,United-States,<=50K
age2,Private,somecollege,average-education,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,part-time,India,<=50K
age2,Private,somecollege,average-education,Never-married,Handlers-cleaners,Own-child,White,Male,extra-time,United-States,<=50K
age4,Private,pre-college,low-education,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,full-time,Mexico,<=50K
age1,Private,somecollege,average-education,Never-married,Adm-clerical,Own-child,White,Male,part-time,United-States,<=50K
age3,Private,somecollege,average-education,Married-civ-spouse,Craft-repair,Husband,White,Male,full-time,United-States,>50K
age2,Private,somecollege,average-education,Never-married,Other-service,Own-child,White,Female,part-time,United-States,<=50K
age4,Private,somecollege,average-education,Separated,Other-service,Not-in-family,White,Female,part-time,Peru,<=50K
age6,Federal-gov,somecollege,average-education,Married-civ-spouse,Adm-clerical,Husband,White,Male,full-time,United-States,<=50K
age3,Private,college,high-education,Married-civ-spouse,Tech-support,Husband,White,Male,extra-time,United-States,<=50K
age1,Private,college,high-education,Never-married,Adm-clerical,Not-in-family,White,Male,full-time,United-States,<=50K
age3,State-gov,college,high-education,Never-married,Exec-managerial,Not-in-family,White,Female,part-time,United-States,<=50K
age4,Private,college,high-education,Married-spouse-absent,Exec-managerial,Not-in-family,White,Male,excessive-time,United-States,>50K
age3,Federal-gov,somecollege,average-education,Married-civ-spouse,Protective-serv,Husband,Black,Male,full-time,United-States,>50K
age4,Private,somecollege,average-education,Married-civ-spouse,Adm-clerical,Wife,White,Female,full-time,United-States,>50K
age2,Private,somecollege,average-education,Separated,Transport-moving,Not-in-family,White,Male,full-time,United-States,<=50K
age1,Private,somecollege,average-education,Never-married,Adm-clerical,Not-in-family,White,Female,part-time,United-States,<=50K
age3,Private,somecollege,average-education,Never-married,Other-service,Not-in-family,White,Male,part-time,United-States,<=50K
age3,Private,somecollege,average-education,Separated,Transport-moving,Not-in-family,White,Male,extra-time,United-States,<=50K
age3,State-gov,somecollege,average-education,Divorced,Tech-support,Unmarried,White,Female,full-time,United-States,<=50K
age3,Private,prof_doctorate,high-education,Married-civ-spouse,Prof-specialty,Husband,White,Male,full-time,United-States,>50K
age5,Private,college,high-education,Never-married,Prof-specialty,Unmarried,White,Female,full-time,United-States,<=50K
age4,Self-emp-not-inc,prof_doctorate,high-education,Divorced,Prof-specialty,Unmarried,White,Male,excessive-time,United-States,>50K
age4,Private,somecollege,average-education,Divorced,Adm-clerical,Not-in-family,White,Female,full-time,United-States,<=50K
age3,Private,somecollege,average-education,Divorced,Machine-op-inspct,Unmarried,White,Female,full-time,United-States,<=50K
age3,State-gov,college,high-education,Married-civ-spouse,Prof-specialty,Husband,White,Male,full-time,United-States,>50K
age1,Private,pre-college,some-education,Married-civ-spouse,Sales,Husband,White,Male,full-time,Mexico,<=50K
age4,Local-gov,college,high-education,Separated,Prof-specialty,Not-in-family,White,Female,excessive-time,United-States,<=50K
age3,Self-emp-not-inc,somecollege,average-education,Divorced,Craft-repair,Not-in-family,White,Male,extra-time,United-States,<=50K
age4,Private,college,high-education,Married-civ-spouse,Adm-clerical,Husband,Asian-Pac-Islander,Male,full-time,Vietnam,<=50K
age1,State-gov,pre-college,some-education,Never-married,Other-service,Own-child,White,Male,part-time,United-States,<=50K
age5,Private,somecollege,average-education,Married-civ-spouse,Other-service,Husband,White,Male,extra-time,United-States,<=50K
age6,Private,somecollege,average-education,Never-married,Other-service,Other-relative,Black,Female,full-time,United-States,<=50K
age3,Private,college,high-education,Married-civ-spouse,Craft-repair,Husband,White,Male,extra-time,United-States,>50K
age2,Private,pre-college,some-education,Married-civ-spouse,Farming-fishing,Husband,Amer-Indian-Eskimo,Male,full-time,United-States,<=50K
age1,Private,somecollege,average-education,Never-married,Adm-clerical,Other-relative,Asian-Pac-Islander,Male,part-time,Puerto-Rico,<=50K
age2,Self-emp-not-inc,pre-college,low-education,Married-civ-spouse,Craft-repair,Husband,White,Male,extra-time,United-States,>50K
age2,Private,pre-college,low-education,Never-married,Machine-op-inspct,Not-in-family,White,Female,full-time,Mexico,<=50K
age1,Private,somecollege,average-education,Never-married,Adm-clerical,Own-child,White,Male,part-time,United-States,<=50K
age2,Self-emp-not-inc,somecollege,average-education,Married-civ-spouse,Farming-fishing,Husband,White,Male,extra-time,United-States,>50K
age2,Private,college,high-education,Never-married,Other-service,Not-in-family,White,Male,part-time,United-States,<=50K
age4,Private,college,high-education,Divorced,Exec-managerial,Not-in-family,White,Male,extra-time,United-States,>50K
age7,Private,college,high-education,Married-civ-spouse,Prof-specialty,Husband,White,Male,part-time,United-States,<=50K
age4,Private,college,high-education,Divorced,Sales,Unmarried,White,Female,part-time,United-States,<=50K
age3,Private,somecollege,average-education,Divorced,Exec-managerial,Not-in-family,White,Male,full-time,United-States,<=50K
age2,Private,college,high-education,Never-married,Adm-clerical,Not-in-family,White,Female,full-time,United-States,<=50K
age4,Federal-gov,college,high-education,Married-civ-spouse,Protective-serv,Husband,Black,Male,extra-time,United-States,>50K
age2,Private,somecollege,average-education,Married-civ-spouse,Craft-repair,Husband,White,Male,full-time,United-States,>50K
age2,Private,somecollege,average-education,Married-civ-spouse,Other-service,Wife,White,Female,part-time,United-States,<=50K
age5,Private,somecollege,average-education,Divorced,Other-service,Not-in-family,White,Female,part-time,United-States,<=50K
age2,Private,somecollege,average-education,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,full-time,United-States,<=50K
age3,Self-emp-not-inc,college,high-education,Divorced,Handlers-cleaners,Unmarried,White,Male,full-time,Peru,<=50K
age4,Private,somecollege,average-education,Married-civ-spouse,Sales,Husband,White,Male,extra-time,United-States,>50K
age6,Private,somecollege,average-education,Widowed,Adm-clerical,Not-in-family,White,Female,full-time,United-States,<=50K
age4,State-gov,somecollege,average-education,Separated,Tech-support,Unmarried,White,Female,full-time,United-States,<=50K
age2,Self-emp-not-inc,college,high-education,Married-civ-spouse,Prof-specialty,Husband,Black,Male,part-time,United-States,>50K
age2,Private,college,high-education,Married-civ-spouse,Sales,Husband,White,Male,extra-time,United-States,>50K
age4,Private,somecollege,average-education,Married-civ-spouse,Prof-specialty,Husband,White,Male,full-time,United-States,>50K
age4,Private,somecollege,average-education,Separated,Exec-managerial,Not-in-family,White,Female,full-time,United-States,>50K
age3,Private,somecollege,average-education,Married-civ-spouse,Protective-serv,Own-child,White,Male,full-time,United-States,<=50K
age3,Private,somecollege,average-education,Married-civ-spouse,Exec-managerial,Husband,White,Male,extra-time,United-States,<=50K
age3,Private,somecollege,average-education,Married-civ-spouse,Craft-repair,Husband,White,Male,extra-time,United-States,<=50K
age1,Private,somecollege,average-education,Never-married,Machine-op-inspct,Not-in-family,White,Male,part-time,United-States,<=50K
age2,Self-emp-not-inc,somecollege,average-education,Never-married,Sales,Not-in-family,White,Male,extra-time,United-States,<=50K
age1,Private,pre-college,some-education,Married-spouse-absent,Adm-clerical,Unmarried,Asian-Pac-Islander,Female,full-time,Vietnam,<=50K
age2,Private,somecollege,average-education,Married-civ-spouse,Sales,Husband,White,Male,extra-time,United-States,<=50K
age4,Private,somecollege,average-education,Married-civ-spouse,Transport-moving,Husband,White,Male,excessive-time,United-States,<=50K
age4,Self-emp-inc,somecollege,average-education,Married-civ-spouse,Transport-moving,Husband,White,Male,excessive-time,United-States,<=50K
age2,Private,college,high-education,Never-married,Sales,Not-in-family,Asian-Pac-Islander,Female,full-time,South,<=50K
age4,Local-gov,somecollege,average-education,Married-civ-spouse,Protective-serv,Husband,White,Male,extra-time,United-States,>50K
age3,Private,somecollege,average-education,Separated,Exec-managerial,Unmarried,White,Male,full-time,United-States,<=50K
age3,Private,somecollege,average-education,Married-civ-spouse,Craft-repair,Husband,White,Male,full-time,United-States,<=50K
age1,State-gov,college,high-education,Married-civ-spouse,Exec-managerial,Husband,White,Male,part-time,United-States,<=50K
age2,Private,somecollege,average-education,Divorced,Sales,Not-in-family,White,Male,full-time,United-States,<=50K
age5,Private,somecollege,average-education,Divorced,Adm-clerical,Not-in-family,Asian-Pac-Islander,Male,full-time,United-States,<=50K
age2,Local-gov,somecollege,average-education,Married-civ-spouse,Protective-serv,Husband,White,Male,full-time,United-States,>50K
age2,Self-emp-not-inc,somecollege,average-education,Never-married,Prof-specialty,Not-in-family,White,Female,part-time,Mexico,<=50K
age4,Private,somecollege,average-education,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,full-time,United-States,<=50K
age2,Private,somecollege,average-education,Married-civ-spouse,Craft-repair,Husband,White,Male,full-time,United-States,<=50K
age3,Private,college,high-education,Married-civ-spouse,Prof-specialty,Husband,White,Male,full-time,United-States,>50K
age6,Private,somecollege,average-education,Married-civ-spouse,Protective-serv,Husband,White,Male,full-time,United-States,<=50K
age4,Private,somecollege,average-education,Married-civ-spouse,Craft-repair,Husband,White,Male,full-time,United-States,<=50K
age3,Private,somecollege,average-education,Married-civ-spouse,Craft-repair,Husband,White,Male,full-time,United-States,<=50K
age4,Self-emp-not-inc,prof_doctorate,high-education,Never-married,Prof-specialty,Not-in-family,White,Male,full-time,United-States,>50K
age5,Private,college,high-education,Never-married,Prof-specialty,Not-in-family,White,Male,excessive-time,United-States,<=50K
age1,Local-gov,college,high-education,Never-married,Prof-specialty,Own-child,White,Male,part-time,United-States,<=50K
age6,State-gov,college,high-education,Divorced,Exec-managerial,Not-in-family,White,Female,part-time,United-States,<=50K
age5,Private,somecollege,average-education,Married-civ-spouse,Sales,Husband,White,Male,full-time,United-States,<=50K
age4,Private,somecollege,average-education,Divorced,Handlers-cleaners,Not-in-family,White,Male,part-time,United-States,<=50K
age4,Private,college,high-education,Never-married,Adm-clerical,Unmarried,Asian-Pac-Islander,Female,full-time,Philippines,<=50K
age1,Private,somecollege,average-education,Never-married,Adm-clerical,Own-child,White,Female,part-time,United-States,<=50K
age5,Private,pre-college,low-education,Never-married,Farming-fishing,Unmarried,Black,Female,part-time,United-States,<=50K
age1,Private,college,high-education,Never-married,Prof-specialty,Not-in-family,White,Male,full-time,United-States,<=50K
age3,Private,pre-college,low-education,Separated,Sales,Unmarried,Black,Female,part-time,Puerto-Rico,<=50K
age2,Private,somecollege,average-education,Divorced,Prof-specialty,Not-in-family,White,Male,full-time,United-States,<=50K
age2,Private,college,high-education,Married-civ-spouse,Sales,Husband,White,Male,extra-time,United-States,>50K
age1,Private,somecollege,average-education,Never-married,Other-service,Own-child,White,Female,part-time,United-States,<=50K
age3,Private,college,high-education,Married-civ-spouse,Exec-managerial,Husband,White,Male,full-time,United-States,>50K
age2,Self-emp-not-inc,pre-college,some-education,Never-married,Craft-repair,Not-in-family,White,Male,full-time,Mexico,<=50K
age2,Private,somecollege,average-education,Never-married,Adm-clerical,Unmarried,White,Female,part-time,Puerto-Rico,<=50K
age5,Private,college,high-education,Married-civ-spouse,Sales,Husband,White,Male,full-time,United-States,<=50K
age3,Private,somecollege,average-education,Married-civ-spouse,Craft-repair,Husband,White,Male,extra-time,United-States,<=50K
age4,Private,somecollege,average-education,Married-civ-spouse,Adm-clerical,Wife,White,Female,full-time,Germany,>50K
age5,Private,college,high-education,Divorced,Adm-clerical,Not-in-family,White,Female,full-time,United-States,<=50K
age5,Private,somecollege,average-education,Married-civ-spouse,Sales,Husband,White,Male,full-time,United-States,<=50K
age4,Private,somecollege,average-education,Divorced,Transport-moving,Not-in-family,White,Male,full-time,United-States,<=50K
age1,Private,somecollege,average-education,Never-married,Sales,Own-child,Black,Female,part-time,United-States,<=50K
age3,Private,somecollege,average-education,Married-civ-spouse,Other-service,Husband,Black,Male,full-time,United-States,<=50K
age3,Private,somecollege,average-education,Married-civ-spouse,Prof-specialty,Husband,White,Male,full-time,United-States,<=50K
age6,Federal-gov,somecollege,average-education,Married-civ-spouse,Farming-fishing,Husband,Black,Male,full-time,United-States,<=50K
age6,Self-emp-not-inc,college,high-education,Married-civ-spouse,Prof-specialty,Husband,White,Male,extra-time,United-States,<=50K
age5,Private,somecollege,average-education,Divorced,Craft-repair,Not-in-family,White,Male,extra-time,United-States,>50K
age2,Private,somecollege,average-education,Married-civ-spouse,Prof-specialty,Husband,White,Male,full-time,United-States,<=50K
age3,Private,somecollege,average-education,Never-married,Machine-op-inspct,Not-in-family,White,Female,full-time,United-States,<=50K
age4,Private,pre-college,some-education,Married-civ-spouse,Craft-repair,Husband,White,Male,part-time,United-States,<=50K
age2,Self-emp-inc,college,high-education,Married-civ-spouse,Prof-specialty,Husband,White,Male,extra-time,United-States,>50K
age3,Private,somecollege,average-education,Never-married,Sales,Own-child,White,Female,full-time,United-States,<=50K
age5,Self-emp-not-inc,college,high-education,Married-civ-spouse,Exec-managerial,Husband,White,Male,full-time,Italy,>50K
age1,Self-emp-inc,somecollege,average-education,Never-married,Machine-op-inspct,Own-child,White,Male,part-time,United-States,<=50K
age2,Private,somecollege,average-education,Never-married,Other-service,Not-in-family,White,Female,extra-time,United-States,<=50K
age4,State-gov,prof_doctorate,high-education,Divorced,Prof-specialty,Unmarried,White,Female,full-time,United-States,<=50K
age3,Private,somecollege,average-education,Divorced,Adm-clerical,Unmarried,Black,Female,full-time,United-States,<=50K
age1,Local-gov,college,high-education,Never-married,Prof-specialty,Not-in-family,White,Female,part-time,United-States,<=50K
age1,Self-emp-inc,college,high-education,Married-civ-spouse,Exec-managerial,Husband,White,Male,full-time,United-States,>50K
age1,Private,somecollege,average-education,Never-married,Machine-op-inspct,Not-in-family,White,Female,part-time,United-States,<=50K
age1,Private,pre-college,some-education,Never-married,Other-service,Unmarried,Black,Male,full-time,United-States,<=50K
age1,Private,pre-college,low-education,Never-married,Other-service,Other-relative,White,Male,full-time,Mexico,<=50K
age1,Self-emp-not-inc,pre-college,some-education,Never-married,Other-service,Own-child,White,Female,part-time,United-States,<=50K
age6,Self-emp-inc,college,high-education,Married-civ-spouse,Farming-fishing,Husband,White,Male,full-time,United-States,>50K
age2,Local-gov,college,high-education,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,excessive-time,United-States,>50K
age5,Federal-gov,college,high-education,Married-civ-spouse,Prof-specialty,Husband,White,Male,extra-time,United-States,>50K
age2,Private,college,high-education,Never-married,Sales,Not-in-family,White,Female,full-time,United-States,<=50K
age6,Private,somecollege,average-education,Widowed,Adm-clerical,Unmarried,White,Female,part-time,United-States,<=50K
age1,Private,pre-college,some-education,Never-married,Other-service,Own-child,White,Male,part-time,United-States,<=50K
age4,Local-gov,somecollege,average-education,Divorced,Adm-clerical,Unmarried,Black,Female,part-time,United-States,<=50K
age1,Private,pre-college,some-education,Never-married,Other-service,Own-child,Black,Male,part-time,United-States,<=50K
age2,Local-gov,somecollege,average-education,Never-married,Adm-clerical,Own-child,White,Female,full-time,United-States,<=50K
age4,Self-emp-not-inc,college,high-education,Married-spouse-absent,Sales,Own-child,White,Male,extra-time,United-States,>50K
age3,Private,somecollege,average-education,Never-married,Prof-specialty,Not-in-family,White,Female,full-time,United-States,<=50K
age6,Private,prof_doctorate,high-education,Married-civ-spouse,Prof-specialty,Husband,White,Male,extra-time,United-States,>50K
age2,Private,somecollege,average-education,Divorced,Machine-op-inspct,Not-in-family,White,Male,full-time,United-States,<=50K
age3,Private,somecollege,average-education,Married-civ-spouse,Exec-managerial,Husband,White,Male,full-time,United-States,<=50K
age5,Self-emp-not-inc,somecollege,average-education,Divorced,Craft-repair,Not-in-family,White,Male,part-time,Puerto-Rico,>50K
age4,Private,college,high-education,Married-civ-spouse,Exec-managerial,Husband,White,Male,full-time,United-States,>50K
age3,Private,college,high-education,Married-civ-spouse,Sales,Husband,White,Male,full-time,United-States,>50K
age1,Private,somecollege,average-education,Never-married,Machine-op-inspct,Not-in-family,Black,Female,full-time,United-States,<=50K
age3,Private,somecollege,average-education,Divorced,Adm-clerical,Unmarried,Black,Female,full-time,United-States,<=50K
age2,Private,pre-college,some-education,Divorced,Adm-clerical,Not-in-family,White,Female,full-time,United-States,<=50K
age6,Private,pre-college,some-education,Married-civ-spouse,Protective-serv,Husband,White,Male,full-time,United-States,>50K
age5,State-gov,college,high-education,Divorced,Exec-managerial,Not-in-family,White,Female,full-time,United-States,<=50K
age6,Private,somecollege,average-education,Divorced,Other-service,Not-in-family,White,Male,full-time,United-States,<=50K
age4,Self-emp-not-inc,college,high-education,Never-married,Farming-fishing,Own-child,White,Male,excessive-time,United-States,<=50K
age4,Private,somecollege,average-education,Divorced,Transport-moving,Not-in-family,White,Male,excessive-time,United-States,<=50K
age5,Self-emp-not-inc,somecollege,average-education,Married-civ-spouse,Sales,Husband,White,Male,extra-time,United-States,<=50K
age1,Private,somecollege,average-education,Never-married,Adm-clerical,Own-child,White,Female,part-time,United-States,<=50K
age1,Private,somecollege,average-education,Never-married,Other-service,Own-child,White,Male,part-time,United-States,<=50K
age2,Private,somecollege,average-education,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,full-time,United-States,<=50K
age3,Private,somecollege,average-education,Married-civ-spouse,Craft-repair,Husband,White,Male,full-time,United-States,<=50K
age5,Private,somecollege,average-education,Married-civ-spouse,Farming-fishing,Husband,White,Male,extra-time,United-States,>50K
age2,Private,pre-college,low-education,Divorced,Transport-moving,Unmarried,White,Male,part-time,United-States,<=50K
age4,Private,somecollege,average-education,Married-civ-spouse,Adm-clerical,Husband,White,Male,full-time,United-States,<=50K
age3,Private,college,high-education,Married-civ-spouse,Exec-managerial,Husband,White,Male,extra-time,United-States,>50K
age5,Local-gov,somecollege,average-education,Married-civ-spouse,Other-service,Husband,Asian-Pac-Islander,Male,full-time,China,<=50K
age2,Private,somecollege,average-education,Never-married,Exec-managerial,Unmarried,White,Female,full-time,United-States,<=50K
age4,Self-emp-inc,college,high-education,Married-civ-spouse,Prof-specialty,Husband,White,Male,full-time,United-States,>50K
age5,Private,somecollege,average-education,Married-civ-spouse,Exec-managerial,Husband,White,Male,part-time,United-States,>50K
age1,Private,pre-college,some-education,Never-married,Other-service,Own-child,White,Female,part-time,United-States,<=50K
age2,Private,somecollege,average-education,Married-civ-spouse,Prof-specialty,Husband,White,Male,full-time,United-States,>50K
age2,Private,college,high-education,Never-married,Farming-fishing,Not-in-family,White,Male,full-time,United-States,<=50K
age5,Federal-gov,college,high-education,Married-civ-spouse,Exec-managerial,Husband,White,Male,full-time,United-States,<=50K
age4,Private,somecollege,average-education,Married-civ-spouse,Other-service,Husband,White,Male,full-time,United-States,<=50K
age2,Private,somecollege,average-education,Never-married,Other-service,Not-in-family,White,Male,part-time,United-States,<=50K
age2,Private,college,high-education,Never-married,Other-service,Not-in-family,White,Female,full-time,United-States,<=50K
age4,Local-gov,college,high-education,Married-civ-spouse,Prof-specialty,Husband,White,Male,extra-time,United-States,>50K
age3,Private,somecollege,average-education,Married-civ-spouse,Craft-repair,Husband,White,Male,full-time,United-States,>50K
age2,Private,pre-college,some-education,Married-civ-spouse,Craft-repair,Husband,White,Male,full-time,United-States,<=50K
age4,Private,somecollege,average-education,Married-civ-spouse,Exec-managerial,Husband,White,Male,extra-time,United-States,>50K
age1,Private,somecollege,average-education,Divorced,Machine-op-inspct,Not-in-family,White,Male,full-time,United-States,<=50K
age8,Self-emp-not-inc,somecollege,average-education,Married-civ-spouse,Sales,Husband,White,Male,part-time,United-States,<=50K
age5,Self-emp-not-inc,pre-college,low-education,Married-civ-spouse,Exec-managerial,Husband,White,Male,excessive-time,United-States,>50K
age3,Federal-gov,college,high-education,Never-married,Adm-clerical,Not-in-family,White,Male,full-time,United-States,<=50K
age1,Private,somecollege,average-education,Never-married,Transport-moving,Own-child,White,Male,full-time,United-States,<=50K
age2,Private,college,high-education,Never-married,Exec-managerial,Not-in-family,White,Female,full-time,United-States,>50K
age4,Self-emp-not-inc,somecollege,average-education,Divorced,Other-service,Unmarried,White,Male,full-time,United-States,<=50K
age1,Private,college,high-education,Never-married,Protective-serv,Not-in-family,White,Female,full-time,United-States,<=50K
age2,Private,somecollege,average-education,Never-married,Exec-managerial,Not-in-family,White,Female,extra-time,United-States,<=50K
age4,Private,somecollege,average-education,Married-civ-spouse,Transport-moving,Husband,White,Male,extra-time,United-States,<=50K
age2,Private,somecollege,average-education,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,extra-time,United-States,<=50K
age4,Private,somecollege,average-education,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,full-time,United-States,>50K
age2,Private,somecollege,average-education,Never-married,Protective-serv,Own-child,White,Male,excessive-time,United-States,<=50K
age3,Private,somecollege,average-education,Married-civ-spouse,Adm-clerical,Wife,White,Female,part-time,United-States,>50K
age2,Private,somecollege,average-education,Married-civ-spouse,Craft-repair,Husband,White,Male,full-time,United-States,<=50K
age3,Private,somecollege,average-education,Married-civ-spouse,Craft-repair,Husband,White,Male,full-time,United-States,>50K
age1,Private,somecollege,average-education,Never-married,Farming-fishing,Own-child,White,Male,part-time,United-States,<=50K
age4,Private,somecollege,average-education,Married-civ-spouse,Sales,Husband,White,Male,full-time,United-States,<=50K
age4,Federal-gov,somecollege,average-education,Married-civ-spouse,Adm-clerical,Husband,White,Male,full-time,United-States,<=50K
age4,Private,somecollege,average-education,Never-married,Craft-repair,Not-in-family,White,Female,extra-time,United-States,<=50K
age3,Private,pre-college,low-education,Separated,Machine-op-inspct,Not-in-family,White,Female,full-time,United-States,<=50K
age5,Private,somecollege,average-education,Never-married,Prof-specialty,Not-in-family,White,Male,full-time,United-States,<=50K
age1,Private,somecollege,average-education,Married-civ-spouse,Adm-clerical,Wife,White,Female,full-time,United-States,<=50K
age2,Local-gov,somecollege,average-education,Divorced,Adm-clerical,Unmarried,White,Female,part-time,United-States,<=50K
age3,Self-emp-inc,somecollege,average-education,Married-civ-spouse,Transport-moving,Husband,White,Male,extra-time,United-States,<=50K
age5,Self-emp-not-inc,college,high-education,Never-married,Prof-specialty,Not-in-family,White,Male,part-time,United-States,<=50K
